Product name,description,SKU code,Regular Price,Sale Price,Stock quantity,weight,height,Related product,Short description,parameters,parameter price,Image URL,Meta title SEO,Meta Keyword,Meta Description,Categories,Date
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Super Blue,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Super Gold,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Super Green,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Super Red,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Teal,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Toffee,6.95, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Luster Powder 2g (Metallic),"<p><span style=""font-family:tahoma,geneva,sans-serif;"">Luster Powder 2g (Metallic) (Edible)</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Edible luster powder, perfect for brushing on finished products to add a shimmer.</span></p><p><span style=""font-family:tahoma,geneva,sans-serif;"">Colours range from:</span></p><p> </p><ul><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Purple Iris </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Passion Fruit <span style=""color:#ff0000;"">(New)</span></span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Toffee </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Mayan Gold </span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Coffee Bean</span></p></li><li><p><span style=""font-family: tahoma, geneva, sans-serif;"">Alabaster </span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bright Copper</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Bronze</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Classic Satin</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Dazzling Red</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Deep Pink</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Irish Green</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Jet Black</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mauve Orchid</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Mimosa (Yellow)</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Orange Sherbet</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Pharaoh's Gold</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Purssian Blue</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Roman Silver</span></p></li><li><p><span style=""font-family:tahoma,geneva,sans-serif;"">Violet</span></p></li></ul><h3> </h3><h3> </h3>",Luster Powder 2g (Metallic),6.95,0,0,0.01,0," Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Luster Powder 2g (Metallic) (Edible),Violet,6.9, http://www.savourschool.com.au/source/Product/137201601850636039947303140055.jpg,Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible),Luster Powder 2g (Metallic) (Edible)," Decorating and Garnishing -> Colours & Glazes, Cake Decorating -> Colours & Garnishes",25/09/2013
Chablon Eclairs Mat,"<p><strong>Chablon Eclair Mat:</strong> This food grade rubber stencil enables you to create individual eclair shaped chocolate discs, to garnish your finished eclairs.</p><p><strong>Size</strong>: 6 eclair shapes 132x32mm </p><p><strong>Directions of use: </strong> Place the chablon mat onto a guitar sheet or transfer sheet on a flat tray, spread a thin layer of chocolate onto the chablon and scrape off the excess. Remove the chablon immediately and place the sheet of stenciled chocolate onto a slightly curved surface to set. Allow to set and remove the chablon to reveal your individual discs.Chablon Mat Eclairs</p>",,105,0,0,0.07,0,,"Chablon Eclairs mat, for creating eclair shaped chocolate discs to garnish your finished product.",,0, http://www.savourschool.com.au/source/Product/25920130354635157290345284067.jpg,Chablon Eclairs Mat,,"Chablon Eclairs mat, for creating eclair shaped chocolate discs to garnish your finished product.", AAAA DEACTIVATED,25/09/2013
Chablon Mat Oval 40mm Length,"<p><strong>Chablon Mat Oval:</strong> This food grade rubber stencil enables you to create a wide range of products from chocolate discs, chocolate tuiles and garnishes.</p><p>Size: 24 ovals x 40mm diameter</p><p><strong>Directions of use: </strong>Place the chablon mat onto a guitar sheet or transfer sheet on a flat tray, spread a thin layer of chocolate onto the chablon and scrape off the excess. Allow to set and remove the chablon to reveal your individual discs.</p>",,40,0,1,0.2,0,,"Chablon Mat Oval 40mm length, for creating individual chocolate discs.",,0, http://www.savourschool.com.au/source/Product/25920130526635157291261614067.jpg,,,, AAAA DEACTIVATED,25/09/2013
Chablon Mat Round 50mm diameter,"<p><strong>Chablon Mat Round:</strong> This food grade rubber stencil enables you to create a wide range of products from chocolate discs, chocolate tuiles and garnishes.</p><p>Size: 28 discs x 50mm diameter</p><p><strong>Directions of use: </strong>Place the chablon mat onto a guitar sheet or transfer sheet on a flat tray, spread a thin layer of chocolate onto the chablon and scrape off the excess. Allow to set and remove the chablon to reveal your individual discs.</p>",,40,0,0,0.17,0,,"Chablon Mat Round 50mm diameter, for creating individual chocolate discs.",,0, http://www.savourschool.com.au/source/Product/25920130746635157292666944067.jpg,,,, AAAA DEACTIVATED,25/09/2013
Star Paper Baking Pan 10pk,"<p><strike><strong><span style=""font-size: 18px;"">WAS $7.50</span></strong></strike></p><p><span style=""color: rgb(255, 0, 0);""><strong><span style=""font-size: 18px;"">NOW $5.95</span></strong></span></p><p> </p><p>A bake stable paper pan that the finished product can be presented in. Suitable for bread and cakes.</p><p><strong>Dimensions: </strong>120mm diameter, 35mm high</p><p><strong>Quantity: </strong>10</p>",,7.5,5.95,1,0.04,0,,A bake stable paper pan that the finished product can be presented in.,,0," http://www.savourschool.com.au/source/Product/259201301023635157294232524067.jpg, http://www.savourschool.com.au/source/Product/259201301035635157294352824067.jpg",Star Paper Baking Pan 10pk,,A bake stable paper pan that the finished product can be presented in., AAAA DEACTIVATED,25/09/2013
Cutting Grid 2/4cm,<p>Cutting Grid 2/4cm for chocolate and ganache.</p>,,69,0,45,0.795,0, Coloured Mini Chocolate Melting Tank 1.8lt (Various Colours),Cutting Grid 2/4cm,,0," http://www.savourschool.com.au/source/Product/259201301452635157296923024067.jpg, http://www.savourschool.com.au/source/Product/59201405213635455255330791226.jpg",Cutting Grid 2/4cm,,Cutting Grid 2/4cm for chocolate and ganache.," Equipment -> General, Gift Guide -> Under $100, Equipment -> Cutters",25/09/2013
Cutting Grid 3/6cm,<p>Cutting Grid 3/6cm for chocolate and ganache.</p>,,69,0,56,0.795,0,,Cutting Grid 3/6cm,,0," http://www.savourschool.com.au/source/Product/25920130185635157298857834067.jpg, http://www.savourschool.com.au/source/Product/59201405137635455254974384976.jpg",Cutting Grid 3/6cm,,Cutting Grid 3/6cm for chocolate and ganache.," Equipment -> General, Gift Guide -> Under $100, Equipment -> Cutters",25/09/2013
Testo Thermometer,"<p>Temperature measurements are among the tasks carried out daily in the food sector. Only by taking precise measurements can you monitor and guarantee the quality of your products. The testo 108 allows spot-check measurements in seconds. Whether in the transportation and storage of foodstuffs, in restaurants, in large kitchens or in chain restaurants.</p><p>The testo 108 allows temperature measurement to be integrated into daily work routines with no added complications, helping the user comply with HACCP requirements and certified according to EN 13485. Two self-explanatory buttons for easy application even by frequently changing staff any standard probe Type T and Type K with miniature TC plug connectable Probe (108-1 model only) can be stowed directly in softcase Always hygienic: Simply clean the softcase and the probe under running water Large, clear display.</p><p>Parameter °C / °F<br />Operating temp. -20 to +60 °C<br />Storage temp. -30 to +70 °C<br />Probes Type T (Cu-CuNi), Type K (NiCr-Ni) (108-1 only)<br />Protection Class IP67<br />Features Auto-Off<br />Standard EN 13485</p>",,255,0,0,0.38,0,,"Testo Waterproof Thermometer 108, takes measurements that you monitor, to guarantee the quality of your products.",,0, http://www.savourschool.com.au/source/Product/259201304634635157351948864067.jpg,Testo Thermometer,,"Testo Waterproof Thermometer 108, takes measurements that you monitor, to guarantee the quality of your products.", AAAA DEACTIVATED,25/09/2013
Citrus Pectin 100g,"<p style=""font-size: 11.9999990463257px;""><span style=""font-size: 12px;"">Citrus Pectin is suitable for use in the making of jelly, jam and marmalades. After opening, store in an airtight container in a cool, dry place</span></p>",,9.5,0,985,0.11,0,,"Citrus Pectin is suitable for use in the making of jelly, jam and marmalades. 100g",,0," http://www.savourschool.com.au/source/Product/85201401918635351555587656250.jpg, http://www.savourschool.com.au/source/Product/103201504853635615849337480012.jpg",Citrus Pectin 100g,"naturefirst premium, naturefirst citrus pectin","Citrus Pectin is suitable for use in the making of jelly, jam and marmalades. 100g", Ingredients -> General,25/09/2013
Metallic Colour Powder 30ml / 30cc,"<p><span style=""font-family: tahoma, geneva, sans-serif;"">For best results brush the metallic powder on the inside of a chocolate mould before lining with chocolate. Metallic powder can also be used for coating nuts, icing cakes and chocolate garnishes.</span></p><ul><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Gold</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Silver</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Blue</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Pink</span></strong></li></ul><p> </p>",,52.95,0,0,0.03,0," Luster Powder 2g (Metallic), Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Metallic Colour Powder 30ml / 30cc.,Blue Pearlous,52.95," http://www.savourschool.com.au/source/Product/612201602456636166094967929222.jpg, http://www.savourschool.com.au/source/Product/301020130338635187475882812500.jpg",Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc," Cake Decorating -> Colours & Garnishes, Back in Stock",25/09/2013
Metallic Colour Powder 30ml / 30cc,"<p><span style=""font-family: tahoma, geneva, sans-serif;"">For best results brush the metallic powder on the inside of a chocolate mould before lining with chocolate. Metallic powder can also be used for coating nuts, icing cakes and chocolate garnishes.</span></p><ul><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Gold</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Silver</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Blue</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Pink</span></strong></li></ul><p> </p>",,52.95,0,0,0.03,0," Luster Powder 2g (Metallic), Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Metallic Colour Powder 30ml / 30cc.,Bronze,36.85," http://www.savourschool.com.au/source/Product/612201602456636166094967929222.jpg, http://www.savourschool.com.au/source/Product/301020130338635187475882812500.jpg",Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc," Cake Decorating -> Colours & Garnishes, Back in Stock",25/09/2013
Metallic Colour Powder 30ml / 30cc,"<p><span style=""font-family: tahoma, geneva, sans-serif;"">For best results brush the metallic powder on the inside of a chocolate mould before lining with chocolate. Metallic powder can also be used for coating nuts, icing cakes and chocolate garnishes.</span></p><ul><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Gold</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Silver</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Blue</span></strong></li><li><strong><span style=""font-family:tahoma,geneva,sans-serif;"">Pearlous Pink</span></strong></li></ul><p> </p>",,52.95,0,0,0.03,0," Luster Powder 2g (Metallic), Oil Based Colour Powders 100ml / 100cc, Oil Based Colour Powder 5g / 5cc, Water Soluble Colour Powder 30ml / 30cc",Metallic Colour Powder 30ml / 30cc.,Copper,36.85," http://www.savourschool.com.au/source/Product/612201602456636166094967929222.jpg, http://www.savourschool.com.au/source/Product/301020130338635187475882812500.jpg",Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc,Metallic Colour Powder 30ml / 30cc," Cake Decorating -> Colours & Garnishes, Back in Stock",25/09/2013
